"date","steps","floors","rest_hr","exercise_minutes","stand_minutes","walk_hr","run_start_time","run_distance","mi_min_pace","run_duration","run_active_duration","run_avg_hr","max_heartrate","mi_min_max_pace","strava_elev_gain","sleep_start_time","sleep_end_time","sleep_duration","sleep_efficienty","asleep_min","awake_min","time_in_bed","hours_asleep","sleep_start_hour","sleep_end_hour","awake_pct","month","day","week","year","mo_yr","steps_yesterday","steps_7_day_avg","steps_14_day_avg","steps_30_day_avg","steps_100_day_avg","steps_200_day_avg","floors_yesterday","floors7dayAvg","floors14dayAvg","floors30dayAvg","floors100dayAvg","floors200dayAvg","rest_hr_yesterday","rest_hr_7_day_avg","rest_hr_14_day_avg","rest_hr_30_day_avg"
2018-02-10,9430,2,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:14:30","09:12:00",657,98,643,14,657,10.7166666666667,"10pm","9am",0.0217729393468118,"February","Saturday",2018-02-04,2018,"February 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-11,3780,2,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:19:00","09:19:30",660,93,615,44,660,10.25,"10pm","9am",0.0715447154471545,"February","Sunday",2018-02-11,2018,"February 2018",9430,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,59,NA,NA,NA
2018-02-12,15749,37,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February","Monday",2018-02-11,2018,"February 2018",3780,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,62,NA,NA,NA
2018-02-13,16648,43,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:34:30","06:21:30",467,93,434,33,467,7.23333333333333,"10pm","6am",0.076036866359447,"February","Tuesday",2018-02-11,2018,"February 2018",15749,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,62,NA,NA,NA
2018-02-14,14360,32,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21:52:00","06:24:30",512,98,502,10,512,8.36666666666667,"9pm","6am",0.0199203187250996,"February","Wednesday",2018-02-11,2018,"February 2018",16648,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,60,NA,NA,NA
2018-02-15,14293,34,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21:22:00","06:24:30",542,94,511,30,542,8.51666666666667,"9pm","6am",0.0587084148727984,"February","Thursday",2018-02-11,2018,"February 2018",14360,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,60,NA,NA,NA
2018-02-16,16060,41,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February","Friday",2018-02-11,2018,"February 2018",14293,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,61,NA,NA,NA
2018-02-17,20524,5,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February","Saturday",2018-02-11,2018,"February 2018",16060,12902.8571428571,NA,NA,NA,NA,41,27.2857142857143,NA,NA,NA,NA,61,60.7142857142857,NA,NA
2018-02-18,8159,5,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February","Sunday",2018-02-18,2018,"February 2018",20524,14487.7142857143,NA,NA,NA,NA,5,27.7142857142857,NA,NA,NA,NA,61,61,NA,NA
2018-02-19,13959,53,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21:55:00","06:22:30",507,98,498,9,507,8.3,"9pm","6am",0.0180722891566265,"February","Monday",2018-02-18,2018,"February 2018",8159,15113.2857142857,NA,NA,NA,NA,5,28.1428571428571,NA,NA,NA,NA,61,60.8571428571429,NA,NA
