"date","temp","heat_index","humidity","dew_point","activity_name","duration","steps","calories","distance","speed","pace","elev_gain","vo2max","avg_hr"
"3/5/18",73,74,83,68,"Run",17.4,3016,265,2.12755,7.33637931,490.705271,87.998688,NA,169
"3/6/18",69,69,18,23,"Run",17.5833333333333,3024,262,2.134329,7.28301839,494.300551,95,NA,168
"3/7/18",66,66,21,26,"Run",17.6166666666667,3055,259,2.161421,7.36150956,489.030133,97.998688,NA,168
"3/19/18",67,67,28,33,"Run",18.05,3044,296,2.149777,7.14607313,503.773182,101.000656,NA,172
"3/21/18",76,76,23,36,"Run",19.1333333333333,3272,294,2.30643,7.23270732,497.73893,106.000656,NA,171
"3/22/18",64,64,74,56,"Run",23.9333333333333,4039,377,2.831961,7.09962368,507.06913,102.998688,NA,175
"3/23/18",66,66,87,62,"Run",18,3106,281,2.197591,7.32530333,491.447226,102.998688,NA,173
"3/26/18",72,73,80,66,"Run",16.2333333333333,2803,247,1.984635,7.33540657,490.770343,71.000656,NA,167
"3/28/18",70,70,83,64,"Run",17.1833333333333,2951,265,2.083402,7.27473055,494.863689,91.000656,NA,165
"3/29/18",61,61,93,59,"Run",17.8666666666667,3037,274,2.152169,7.22743321,498.102147,92.998688,NA,168
"4/4/18",68,68,30,36,"Run",17.5666666666667,3051,278,2.152026,7.35037344,489.771034,100,NA,172
"4/6/18",74,75,83,68,"Run",17.5666666666667,3044,281,2.150976,7.3467871,490.010116,96.000656,NA,174
"4/9/18",59,59,83,54,"Run",17.4666666666667,3016,268,2.125642,7.30182366,493.027518,98.999344,NA,173
"4/11/18",81,81,36,52,"Run",14.5,2524,236,1.78661,7.39286897,486.955743,70,NA,172
"4/12/18",67,68,83,62,"Run",17.8833333333333,3087,282,2.182566,7.32268183,491.623163,95,NA,171
"4/13/18",74,75,82,68,"Run",17.6,3042,283,2.151075,7.33321023,490.917332,97.998688,NA,173
"4/16/18",75,75,43,51,"Run",17.7666666666667,3064,266,2.160955,7.29778424,493.300416,103.999344,NA,173
"4/18/18",82,82,27,45,"Run",17.5333333333333,3023,265,2.141668,7.34986158,489.805143,105,NA,171
"4/19/18",71,71,30,38,"Run",15.2,2643,235,1.863418,7.35559737,489.4232,60,NA,172
"4/23/18",69,69,50,49,"Run",16.9166666666667,2904,269,2.059398,7.30426877,492.862477,92.998688,NA,173
"4/24/18",81,82,48,60,"Run",17.6666666666667,3033,264,2.148528,7.29688755,493.361036,92.001312,NA,171
